Keuwl Accelerometer Data File
2019-06-26 17-45-19

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.6003630,4.983531,8.872911,0.183156,10.178295,88.968918,60.678959
2.6101499,4.988319,8.884883,0.044293,10.189526,89.750938,60.688450
2.6201589,4.868609,8.839393,-0.144849,10.092532,90.822342,61.154667
2.6302259,4.754885,8.838196,-0.294487,10.040386,91.680740,61.720074
2.6401651,4.801571,8.889671,-0.369904,10.110300,92.096741,61.625221
2.6503589,5.232528,8.992621,0.277727,10.407868,88.470917,59.806202
2.6601830,4.880580,8.621520,-0.864307,9.944732,94.985924,60.486115
2.6721590,4.323928,8.767567,-0.823605,9.810449,94.815758,63.748722
2.6809189,4.368221,8.659827,-1.131260,9.764922,96.652618,63.232548
2.6903069,4.578911,8.875306,-0.993594,10.036170,95.681664,62.710075
2.7005739,4.744111,8.926781,-0.761356,10.137734,94.307037,62.011723
2.7102451,4.884171,8.634688,-0.738611,9.947790,94.258057,60.505531
2.7210460,4.845864,8.428787,-0.560243,9.738621,93.297928,60.104614
2.7306139,4.969166,8.464700,-0.142455,9.816519,90.831490,59.585117
2.7401369,5.238513,8.597578,-0.090980,10.068200,90.517754,58.646004
2.7502270,5.261258,8.558074,-0.159214,10.047230,90.907982,58.417995
2.7608571,5.036203,8.473080,-0.179565,9.858431,91.043663,59.273724
2.7703218,4.819528,8.403648,-0.282516,9.691696,91.670425,60.165546
2.7801788,4.721366,8.475474,-0.435745,9.711582,92.571640,60.879475
2.7902949,4.769250,8.500613,-0.414197,9.755907,92.433281,60.705494
2.8001437,5.019444,8.601170,-0.314838,9.963636,91.810768,59.733150
2.8103368,5.176264,8.656237,-0.185551,10.087546,91.053963,59.121380
2.8201509,5.169082,8.656237,-0.116119,10.082823,90.659859,59.156414
2.8301921,5.067328,8.548497,-0.158017,9.938792,90.910988,59.341637
2.8401868,4.988319,8.500613,-0.233435,9.858917,91.356750,59.594788
2.8503809,4.859032,8.516175,-0.260968,9.808340,91.524635,60.292431
2.8601620,4.739322,8.588001,-0.311246,9.813858,91.817436,61.107716
2.8722968,4.693832,8.649054,-0.452504,9.851038,92.632790,61.511364
2.8853779,4.667496,8.671799,-0.393846,9.856000,92.290154,61.709148
2.9002087,4.763264,8.602366,-0.257377,9.836445,91.499352,61.026020
2.9109299,4.835090,8.590396,-0.167594,9.859061,90.974014,60.627087
2.9202900,4.900931,8.599973,-0.142455,9.899442,90.824524,60.322159
2.9301980,4.924873,8.621520,-0.199916,9.931009,91.153465,60.263687
2.9401269,4.906917,8.583213,-0.233435,9.889584,91.352539,60.243931
2.9501410,4.802769,8.505402,-0.312443,9.772720,91.832115,60.547768
2.9601600,4.655525,8.390480,-0.359130,9.602242,92.143402,60.975945
2.9702981,4.651934,8.366538,-0.311246,9.577908,91.862228,60.925217
2.9802279,4.715380,8.401254,-0.320823,9.639440,91.907288,60.695766
2.9916539,4.742914,8.441956,-0.269348,9.686815,91.593346,60.671570
3.0000989,4.768053,8.465898,-0.280122,9.720299,91.651390,60.611485
3.0100570,4.771644,8.465898,-0.288501,9.722306,91.700455,60.593033
3.0200639,4.803966,8.483853,-0.293290,9.753967,91.723076,60.479374
3.0300839,4.865018,8.523358,-0.277727,9.818003,91.620972,60.282860
3.0400958,4.893748,8.558074,-0.266953,9.862082,91.551109,60.237858
3.0500379,4.825513,8.579621,-0.238223,9.846432,91.386337,60.644901
3.0600519,4.850653,8.623915,-0.172383,9.895982,90.998108,60.643757
3.0701408,4.893748,8.664616,-0.143652,9.952134,90.827057,60.542374
3.0800078,4.878186,8.584411,-0.079009,9.873958,90.458473,60.392120
3.0902441,4.854244,8.497022,-0.025139,9.785892,90.147186,60.261204
3.1001918,4.811148,8.440758,-0.076614,9.715936,90.451805,60.317287
3.1101758,4.729745,8.462306,-0.193930,9.696325,91.146011,60.798336
3.1202259,4.712986,8.504205,-0.294487,9.727304,91.734848,61.005009
3.1303020,4.739322,8.584411,-0.378284,9.813072,92.209244,61.097580
3.1401289,4.848258,8.650250,-0.393846,9.924089,92.274429,60.730412
3.1503098,4.990714,8.610746,-0.293290,9.956817,91.687958,59.903793
3.1600900,4.990714,8.603564,-0.269348,9.949929,91.551201,59.883045
3.1702669,4.958392,8.583213,-0.233435,9.915224,91.349045,59.985626
3.1801331,4.927267,8.445546,-0.216675,9.780192,91.269463,59.740028
3.1902618,4.872200,8.311471,-0.111330,9.634900,90.662064,59.621086
3.2001369,5.011064,8.285135,-0.111330,9.683317,90.658752,58.833366
3.2103448,5.078102,8.384495,-0.100556,9.802907,90.587738,58.798645
3.2200770,5.008670,8.402451,-0.259771,9.785470,91.521187,59.200985
3.2302499,4.878186,8.216900,-0.169988,9.557355,91.019127,59.303364
3.2401979,4.708198,8.209718,-0.107739,9.464576,90.652237,60.166126
3.2503150,4.559757,8.443152,-0.978031,9.645452,95.819695,61.628563
3.2600298,4.344279,8.493430,-1.397017,9.641720,98.331078,62.910847
