Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.6001029,5.850232,7.843405,0.155623,9.786135,89.088821,53.281513
2.6106629,5.858612,7.819463,0.202310,9.772833,88.813820,53.158184
2.6204259,5.881356,7.833828,0.237026,9.798744,88.613914,53.102097
2.6300888,5.906496,7.861362,0.245406,9.836052,88.570343,53.081276
2.6405499,5.936423,7.892486,0.227449,9.878471,88.680664,53.050926
2.6502330,5.991490,7.881712,0.209493,9.902687,88.787811,52.758766
2.6600189,5.999869,7.854179,0.221464,9.886132,88.716385,52.623505
2.6700747,5.960365,7.831434,0.220267,9.844076,88.717873,52.725883
2.6799629,5.965154,7.842207,0.216675,9.855467,88.740234,52.741665
2.6903770,5.973533,7.835025,0.219069,9.854882,88.726234,52.677593
2.7000160,5.968745,7.842207,0.231040,9.857967,88.657043,52.725052
2.7112069,5.951985,7.830236,0.225055,9.838160,88.689201,52.760502
2.7200809,5.963956,7.809886,0.179565,9.828293,88.953133,52.633129
2.7305388,5.971139,7.815871,0.172383,9.837279,88.995934,52.621037
2.7405958,5.960365,7.862558,0.168791,9.867840,89.019897,52.835346
2.7501848,5.975927,7.874529,0.147243,9.886436,89.146637,52.805382
2.7605450,5.954380,7.862558,0.125696,9.863583,89.269836,52.863056
2.7701497,5.947197,7.846996,0.160412,9.847346,89.066620,52.841705
2.7800918,5.930438,7.861362,0.204704,9.849518,88.809128,52.969902
2.7903450,5.930438,7.896077,0.222661,9.877637,88.708336,53.091209
2.8002408,5.937620,7.890092,0.233435,9.877418,88.645790,53.037029
2.8107178,5.936423,7.870938,0.266953,9.862254,88.448914,52.975651
2.8199480,5.966351,7.887698,0.274136,9.893849,88.412262,52.895695
2.8302889,5.983110,7.892486,0.248997,9.907116,88.559822,52.835079
2.8400791,5.963956,7.891289,0.226252,9.894059,88.689674,52.919304
2.8514938,5.940014,7.878121,0.219069,9.868969,88.728058,52.984119
2.8604569,5.919664,7.876924,0.203507,9.855443,88.816803,53.074413
2.8700159,5.911284,7.861362,0.156820,9.837117,89.086571,53.058975
2.8802319,5.890934,7.836222,0.168791,9.804997,89.013618,53.065735
2.8900030,5.886145,7.844602,0.229843,9.810061,88.657471,53.117512
2.9005499,5.901707,7.874529,0.270545,9.844367,88.425186,53.149616
2.9104359,5.917270,7.888895,0.234632,9.864268,88.637032,53.127319
2.9200230,5.943606,7.882909,0.225055,9.875088,88.694107,52.984203
2.9300690,5.919664,7.857770,0.233435,9.840806,88.640755,53.007397
2.9400780,5.928043,7.849391,0.231040,9.839106,88.654465,52.939041
2.9503510,5.969942,7.881712,0.220267,9.889899,88.723808,52.858170
2.9606659,5.961562,7.899669,0.219069,9.899140,88.731934,52.959614
2.9704571,5.937620,7.916428,0.221464,9.898192,88.717949,53.128716
2.9801488,5.967548,7.906851,0.223858,9.908584,88.705444,52.957005
2.9899869,5.968745,7.898471,0.234632,9.902869,88.642349,52.922260
3.0007160,5.960365,7.879318,0.237026,9.882600,88.625679,52.894058
3.0099709,5.943606,7.837419,0.260968,9.839700,88.480225,52.824680
3.0200379,5.956774,7.831434,0.275333,9.843288,88.397133,52.742523
3.0301878,5.973533,7.843405,0.269348,9.862791,88.435089,52.707119
3.0398679,5.949591,7.860164,0.271742,9.861727,88.421005,52.876842
3.0509920,5.914876,7.863756,0.202310,9.842019,88.822159,53.050640
3.0599549,5.911284,7.858967,0.166397,9.835361,89.030609,53.050591
3.0699787,5.881356,7.844602,0.199916,9.806533,88.831886,53.139896
3.0802050,5.881356,7.839813,0.223858,9.803221,88.691528,53.123104
3.0903699,5.901707,7.884106,0.220267,9.850776,88.718742,53.183033
3.0999820,5.922058,7.898471,0.207098,9.874184,88.798203,53.138439
3.1100399,5.942409,7.924808,0.229843,9.907957,88.670738,53.135643
3.1199448,5.965154,7.947553,0.246603,9.940194,88.578423,53.109394
3.1300049,5.963956,7.965509,0.231040,9.953466,88.669930,53.176975
3.1399910,5.940014,7.970297,0.204704,9.942400,88.820251,53.303986
3.1518819,5.936423,7.971495,0.203507,9.941190,88.827011,53.324707
3.1603429,5.981913,7.941567,0.214281,9.944732,88.765343,53.011448
3.1699388,5.995081,7.929596,0.222661,9.943293,88.716866,52.909309
3.1799300,5.971139,7.903260,0.214281,9.907670,88.760719,52.927910
